Content,Target
"NBC4 News at 11: Post-Emmys coverage, drone video shows Napa quake damage, triple killings investigation &amp; more: http://t.co/nDoslYXSCm",1
RT @janinebucks: Colorado USA Fort Collins » http://t.co/Z9pDwlmkrU  #earthquake 1 Northern California rattled by magnitude-6.0 earthquake.…,0
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",-1
Haf u found him? I feel so stupid da v cam was working.,0
"http://t.co/Pu75cFXQ4B Top India Stories From WSJ: Nepal Floods, Landslides Kill At Least 54 http://t.co/iODxEcHWSI #NRI #India",1
I'm at home. Please call,0
I have to take exam with in march 3,0
RT @SFGate: UPDATE: More than 170 injured in #Napaquake: http://t.co/lmqs3RSCmW http://t.co/ASRBQthXjV,1
I plane to give on this month end.,0
"MGN-AFRICA» Landslides, Flooding Kill 109 In Nepal, Northern India http://t.co/WwDNatoRGK » http://t.co/9FSysMOmw8 @mgnnewsafrica",1
"The 6.0-magnitude earthquake that rocked the Napa Valley in California over the weekend, causing dozens of... http://t.co/XJ09J6Yu0T",1
Were trying to find a Chinese food place around here,0
RT @RyanTronier: Nearly a billion dollars of wine lost to #CaliforniaEarthQuake http://t.co/158LALWbGK http://t.co/Rz0Jek2yUl,1
Lemons from lemonade… MT @vickydnguyen: Napa skaters finding upside to quake damage. Photo from Jeremy Carroll http://t.co/GSfN19UrP5,-1
Stayed up for #summerslam last night to 1am and i couldn't find a link :/.... Sort it out @WWE @WWENetwork,-1
Nt yet chikku..simple habba..hw abt u?,0
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",0
RT @FidelRabbit: 6.0 quake last night &amp; hit hardest w/most damage was #wholefoods Napa. That was the bunnies UR gonna kill thumping at the …,1
One day I will wake up at 6am with ease and happiness but today is not that day.,-1
Keep up to date with my FB Page &gt; https://t.co/GlUppvLeXe   #Fitness #Fitfam #Health #Bodybuilding #Food #Muscles #Gym #workout,-1
RT @globeandmail: Earthquake early Sunday prompts state of emergency in California. A look at the aftermath: http://t.co/e4qj9pDBzH http://…,0
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,0
RT @Logan_Dion: Typical California☀️ skating the earthquake fault lines😂 http://t.co/YUWyJk6KUs,1
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,0
"And our government wants to build dams here...  Nepal flood toll hits 101, fears of disease rise http://t.co/TCJZhrza4U via @timesofindia",0
#Insurance Northern California rocked by magnitude 6.0 earthquake – Fox News [link removed],0
Yup... From what i remb... I think should be can book...,0
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-1
Maybe i could get book out tomo then return it immediately ..? Or something.,0
Xy trying smth now. U eat already? We havent...,0
"Sorry, I'll call later",0
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,-1
They finally came to fix the ceiling.,0
@5eingvaibhav @karishma7m sach me...jb India haar rhi thi tb to waha flood aa jaana chahiye tha and hmare playrs ko chodne sb doob jte,-1
#AtmosphereGathering @Annie_Becker is setting up under the circus tent! Come on into the shade :),-1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,0
RT @ODPM_TT: California earthquake strikes San Francisco Bay area. One of the strongest earthquakes with a magnitude of 6.0... http://t.co/…,0
Also are you bringing galileo or dobby,0
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,0
RT @ginalimp: → USA http://t.co/X06gfVzXsD → Northern California Struck by 6.0 Magnitude Earthquake USA → A 6.0 magnitude earthquake woke u…,0
"Strong California quake causes injuries, damage  http://t.co/IouSr0HnHD",1
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,0
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,0
RT @WSJIndia: Death toll from flash floods and landslides in western Nepal; northern and eastern India climbs to 152 http://t.co/ACEgIKlAva,1
"3 yr old Kepler of Napa helping #nbcbayarea photog Robert get video of earthquake anchor that saved ""Eye Spy"" office http://t.co/WqCrjvsqpn",0
"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or �10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",-1
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,0
"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",0
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),0
I jokin oni lar.. �� busy then i wun disturb �_.,0
You in your room? I need a few,0
Send to someone else :-),0
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,0
Free any day but i finish at 6 on mon n thurs...,0
"@PMOIndia Respected sir, as news coming that flood is in ""banaras"" I request that our loved PM to visit to meet people of his area.",0
"Cousin's advice if the school calls ""every time you pick up the phone make sure you put on an Indian accent and say wrong number"" HAHAHAHAHA",-1
Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,0
Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,0
"RT @ginalimp: California USA Visalia » http://t.co/wfTCG62jHH  #earthquake 2 Dozens injured, 6 critically, after strong earthquake in Calif…",1
"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",0
How big was the Napa #earth#quake? Here's where it ranks among California quakes http://t.co/eS7PWHWyMb,0
"Many dead in Nepal and India floods, REAL TALK http://t.co/3pcAHdjAao",1
RT @CBSLA: NorCal rattled by largest quake to hit Bay Area since ‘89; overnight quake causes significant damage in Napa County: http://t.co…,1
"180 #dead as floods wash away homes in #Nepal, #India - Aug 18 @ 7:33 AM ET http://t.co/BgoBrtcRzz",1
Ho ho - big belly laugh! See ya tomo,0
UPDATE: 18 killed as train rams into autorickshaw in Bihar's West Champaran district: TV reports @timesofindia,1
S...i will take mokka players only:),0
"Until 545 lor... Ya, can go 4 dinner together...",0
"RT @AnandMaskara: Flood Fury in North India: Dozens Killed, Lakhs Affected: Heavy monsoon rains have created flood havoc in four... http://…",1
"Monsoon: Dozens of people have been killed in flooding in northern and eastern India, whi... http://t.co/tZY4QbDIFQ #atlantacash4junkcar",1
Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/uhApRcQ52T Network Front | The Guardian Hel...,1
"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",-1
Bring tat cd don forget,0
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,0
"Congratulations - Thanks to a good friend U have WON the �2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",-1
"RT @ABC7RobHayes: Napa earthquake damage.  Looks bad to most of us, but engineers say retrofitting is working!  Tonight at 6pm @ABC7 http:/…",0
:-) :-),0
"Strong California quake causes injuries, damage http://t.co/5FcTXlWQQd via @YahooNews",1
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,0
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,0
"Flash flood hits 1000 UP villages, leaves 28 dead - Indian Express http://t.co/L4BIUBdmCj",1
"#CNNLatest Hundreds dead as monsoon hits India, Nepal:        http://t.co/zcSR9UgVlm",1
"Ha. You don���t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",0
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,0
So lazy to wake up...,-1
Are you this much buzy,0
Not..tel software name..,0
The new deus ex game comin early next yr,0
"If e timing can, then i go w u lor...",0
"Time for long term fix. So cyclic""@ibnlive: Rain fury in North India, 10 killed in UP flood alert in Bihar http://t.co/gJM6L1BgxV #RainFury""",1
6.0 quake hits #California Nice front page from .@NapaRegister epicenter of the #napaquake http://t.co/jiEmcVfn1d,-1
I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,0
"RT @chainserto: Not bec Joshua's out means that his story and the one with Jane will also end... So don't fret guys, cheer up instead! #PBB…",-1
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,0
Yeah confirmed for you staying at  that weekend,0
#news Scores Killed in Flooding in Nepal and India http://t.co/7Ynf28KPAU,1
"No worries, hope photo shoot went well. have a spiffing fun at workage. ",0
RT @guildsomm: Sending good thoughts to Guild friend Steve Matthiasson and anyone else affected “@matthiassonwine: #napaearthquake http://t…,0
@shahidkapoor @manmarziyan #aaona EY HELLO RT US MAN WE ARE INTERNATIONAL FANS TURKISH AND AFGHAN NOT EVEN INDIAN FLOODING THE HINDI LYRICS,-1
Nepal and India begin relief efforts as monsoon floods claim at least 180 lives #UkNews http://t.co/PG5xodrszJ,1
Ambrith..madurai..met u in arun dha marrge..remembr?,0
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,-1
BBC News UK Many dead in Nepal and India floods: At least 160 people are reported to have been killed in flood... http://t.co/KvLUz8e3HY,1
JADE ITS PAUL. Y DIDN��T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,0
Oh k...i'm watching here:),0
Tell them u have a headache and just want to use 1 hour of sick time.,0
"#napaquake billions? Seems not. Napa supes ask FEMA/HAZUS help: $362.4m in building, infras and econ loss. 123 bizes in wine and ag:  $48m.",1
"Quake: M 0.5 - 8km WNW of Cobb, California",0
"Hundreds dead as monsoon brings chaos to northern India, Nepal http://t.co/VKwV2Rvh6L http://t.co/8F2zjKI63f #india #asia",1
"Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northern and east... http://t.co/q6xG8ruFTX @frostnix",1
Northern California quake won't halt sporting events:  http://t.co/dSnofxkEKW #IndyCar,0
